Match Day,Date,Rival_Country,GF,GA,GD,Result,Year
266,24-12-1993,Pakistan,2,2,0,Draw,1993
267,26-12-1993,Nepal,2,2,0,Draw,1993
268,14-09-1994,Bangladesh,4,2,2,Win,1994
269,18-09-1994,Yemen,0,1,-1,Lost,1994
270,21-09-1994,Oman,1,4,-3,Lost,1994
271,23-09-1994,Yemen,0,1,-1,Lost,1994
272,10-03-1995,Thailand,0,5,-5,Lost,1995
273,12-03-1995,Iraq,1,1,0,Draw,1995
274,29-03-1995,Sri Lanka,2,2,0,Draw,1995
275,29-03-1995,Bangladesh,0,0,0,Draw,1995
276,29-03-1995,Sri Lanka,0,1,-1,Lost,1995
277,23-12-1995,Sri Lanka,1,0,1,Win,1995
278,25-12-1995,Nepal,3,0,3,Win,1995
279,27-12-1995,Bangladesh,1,0,1,Win,1995
280,04-03-1996,Indonesia,1,7,-6,Lost,1996
281,06-03-1996,Malaya,2,5,-3,Lost,1996
282,21-09-1996,Philippines,2,0,2,Win,1996
283,24-09-1996,Sri Lanka,1,1,0,Draw,1996
284,27-09-1996,Qatar,0,6,-6,Lost,1996
285,01-04-1997,China,0,0,0,Draw,1997
286,06-04-1997,Iraq,0,1,-1,Lost,1997
287,10-04-1997,Iraq,1,1,0,Draw,1997
288,11-04-1997,China,1,2,-1,Lost,1997
289,07-09-1997,Bangladesh,3,0,3,Win,1997
290,09-09-1997,Maldives,2,2,0,Draw,1997
291,11-09-1997,Pakistan,2,0,2,Win,1997
292,13-09-1997,Maldives,5,1,4,Win,1997
293,16-11-1998,Uzbekistan,0,0,0,Draw,1998
294,19-11-1998,Uzbekistan,0,4,-4,Lost,1998
295,03-12-1998,Japan,0,1,-1,Lost,1998
296,05-12-1998,Nepal,1,0,1,Win,1998
297,07-12-1998,Turkmenistan,2,3,-1,Lost,1998
298,09-12-1998,Uzbekistan,0,2,-2,Lost,1998
299,11-12-1998,North Korea,0,2,-2,Lost,1998
300,22-04-1999,Bangladesh,0,0,0,Draw,1999
301,26-04-1999,Pakistan,2,0,2,Win,1999
302,29-04-1999,Maldives,2,1,1,Win,1999
303,01-05-1999,Bangladesh,2,0,2,Win,1999
304,26-09-1999,Pakistan,5,2,3,Win,1999
305,30-09-1999,Nepal,4,0,4,Win,1999
306,02-10-1999,Bangladesh,0,1,-1,Lost,1999
307,04-10-1999,Maldives,3,1,2,Win,1999
308,20-11-1999,UAE,1,3,-2,Lost,1999
309,24-11-1999,Uzbekistan,2,3,-1,Lost,1999
310,26-11-1999,Sri Lanka,3,1,2,Win,1999
311,28-11-1999,Bangladesh,2,2,0,Draw,1999
312,02-05-2000,Bangladesh,1,1,0,Draw,2000
313,05-05-2000,Sri Lanka,0,1,-1,Lost,2000
314,07-05-2000,Maldives,0,1,-1,Lost,2000
315,29-07-2000,Bangladesh,1,0,1,Win,2000
316,13-01-2001,Iceland,0,3,-3,Lost,2001
317,08-04-2001,UAE,1,0,1,Win,2001
318,16-04-2001,Yemen,1,1,0,Draw,2001
319,26-04-2001,UAE,0,1,-1,Lost,2001
320,04-05-2001,Yemen,3,3,0,Draw,2001
321,20-05-2001,Brunei,5,0,5,Win,2001
322,26-06-2001,Uzbekistan,1,2,-1,Lost,2001
323,29-08-2002,Jamaica,0,3,-3,Lost,2002
324,01-09-2002,Jamaica,0,0,0,Draw,2002
325,10-01-2003,Pakistan,0,1,-1,Lost,2003
326,12-01-2003,Afghanistan,4,0,4,Win,2003
327,14-01-2003,Sri Lanka,1,1,0,Draw,2003
328,18-01-2003,Bangladesh,1,2,-1,Lost,2003
329,18-01-2003,Pakistan,2,1,1,Win,2003
330,24-03-2003,North Korea,0,2,-2,Lost,2003
331,24-03-2003,North Korea,1,1,0,Draw,2003
332,16-10-2003,Thailand,0,2,-2,Lost,2003
333,18-02-2004,Singapore,1,0,1,Win,2004
334,31-03-2004,Oman,1,5,-4,Lost,2004
335,03-06-2004,Indonesia,1,1,0,Draw,2004
336,09-06-2004,Japan,0,7,-7,Lost,2004
337,22-08-2004,Myanmar,2,1,1,Win,2004
338,24-08-2004,Veitnam,1,2,-1,Lost,2004
339,08-09-2004,Japan,0,4,-4,Lost,2004
340,13-10-2004,Singapore,0,2,-2,Lost,2004
341,05-11-2004,Kuwait,3,2,1,Win,2004
342,17-11-2004,Oman,0,0,0,Draw,2004
343,12-06-2005,Pakistan,1,1,0,Draw,2005
344,16-06-2005,Pakistan,1,0,1,Win,2005
345,18-06-2005,Pakistan,0,3,-3,Lost,2005
346,12-08-2005,Fiji,0,1,-1,Lost,2005
347,14-08-2005,Fiji,1,2,-1,Lost,2005
348,08-12-2005,Nepal,2,1,1,Win,2005
349,10-12-2005,Bhutan,3,0,3,Win,2005
350,12-12-2005,Bangladesh,1,1,0,Draw,2005
351,14-12-2005,Maldives,1,0,1,Win,2005
352,17-12-2005,Bangladesh,2,0,2,Win,2005
353,22-02-2006,Japan,6,0,6,Win,2006
354,01-03-2006,Yemen,0,3,-3,Lost,2006
355,22-04-2006,Hong Kong,2,2,0,Draw,2006
356,16-08-2006,Saudi Arabia,0,3,-3,Lost,2006
357,06-09-2006,Saudi Arabia,1,7,-6,Lost,2006
358,11-10-2006,Japan,0,3,-3,Lost,2006
359,15-11-2006,Yemen,1,2,-1,Lost,2006
360,17-08-2007,Cambodia,6,0,6,Win,2007
361,20-08-2007,Bangladesh,1,0,1,Win,2007
362,23-08-2007,Syria,2,3,-1,Lost,2007
363,26-08-2007,Kyrgyzstan,3,0,3,Win,2007
364,29-08-2007,Syria,1,0,1,Win,2007
365,08-10-2007,Lebanon,1,4,-3,Lost,2007
366,30-10-2007,Lebanon,2,2,0,Draw,2007
367,24-05-2008,Chinese Taipei,3,0,3,Win,2008
368,27-05-2007,Chinese Taipei,2,2,0,Draw,2007
369,03-06-2008,Nepal,4,0,4,Win,2008
370,05-06-2008,Pakistan,2,1,1,Win,2008
371,07-06-2008,Maldives,1,0,1,Win,2008
372,11-06-2008,Bhutan,2,1,1,Win,2008
373,13-06-2008,Maldives,0,1,-1,Lost,2008
374,22-07-2008,Malaya,1,1,0,Draw,2008
375,30-07-2008,Afghanistan,1,0,1,Win,2008
376,01-08-2008,Tajikistan,1,1,0,Draw,2008
377,03-08-2008,Turkmenistan,2,1,1,Win,2008
378,07-08-2008,Myanmar,1,0,1,Win,2008
379,13-08-2008,Tajikistan,4,1,3,Win,2008
380,14-01-2009,Hong Kong,1,2,-1,Lost,2009
381,19-08-2009,Lebanon,0,1,-1,Lost,2009
382,23-08-2009,Kyrgyzstan,2,1,1,Win,2009
383,26-08-2009,Sri Lanka,3,1,2,Win,2009
384,29-08-2009,Syria,0,1,-1,Lost,2009
385,20-09-2008,Syria,1,1,0,Draw,2008
386,04-09-2010,Thailand,0,1,-1,Lost,2010
387,08-09-2010,Thailand,1,2,-1,Lost,2010
388,15-09-2010,Namibia,2,0,2,Win,2010
389,04-10-2010,Hong Kong,0,1,-1,Lost,2010
390,08-10-2010,Veitnam,3,1,2,Win,2010
391,13-10-2010,Yemen,3,6,-3,Lost,2010
392,11-11-2010,Iraq,0,2,-2,Lost,2010
393,14-11-2010,Kuwait,1,9,-8,Lost,2010
394,18-11-2010,UAE,0,5,-5,Lost,2010
395,10-01-2011,Australia,0,4,-4,Lost,2011
396,14-01-2011,Bahrain,2,5,-3,Lost,2011
397,18-01-2011,South Korea,1,4,-3,Lost,2011
398,21-03-2011,Chinese Taipei,3,0,3,Win,2011
399,23-03-2011,Pakistan,3,1,2,Win,2011
400,25-03-2011,Turkmenistan,1,1,0,Draw,2011
401,10-07-2011,Maldives,1,1,0,Draw,2011
402,23-07-2011,UAE,0,3,-3,Lost,2011
403,28-07-2011,UAE,2,2,0,Draw,2011
404,21-08-2011,Trinidad and Tobago,0,3,-3,Lost,2011
405,24-08-2011,Guyana,1,2,-1,Lost,2011
406,13-11-2011,Malaya,1,1,0,Draw,2011
407,16-11-2011,Malaya,3,2,1,Win,2011
408,29-11-2011,Zambia,0,5,-5,Lost,2011
409,03-12-2011,Afghanistan,1,1,0,Draw,2011
410,05-12-2011,Bhutan,5,0,5,Win,2011
411,07-12-2011,Sri Lanka,3,0,3,Win,2011
412,09-12-2011,Maldives,3,1,2,Win,2011
413,11-12-2011,Afghanistan,4,0,4,Win,2011
414,23-02-2012,Oman,1,5,-4,Lost,2012
415,27-02-2012,Azerbaijan,0,3,-3,Lost,2012
416,09-03-2012,Tajikistan,0,2,-2,Lost,2012
417,11-03-2012,Philippines,0,2,-2,Lost,2012
418,13-03-2012,North Korea,0,4,-4,Lost,2012
419,22-08-2012,Syria,2,1,1,Win,2012
420,25-08-2012,Maldives,3,0,3,Win,2012
421,28-08-2012,Nepal,0,0,0,Draw,2012
422,31-08-2012,Cameroon,0,1,-1,Lost,2012
423,02-09-2012,Cameroon,2,2,0,Draw,2012
424,16-10-2012,Singapore,0,2,-2,Lost,2012
425,06-02-2013,Palestine,2,4,-2,Lost,2013
426,02-03-2013,Chinese Taipei,2,1,1,Win,2013
427,04-03-2013,Guam,4,0,4,Win,2013
428,06-03-2013,Myanmar,0,1,-1,Lost,2013
429,14-08-2013,Tajikistan,0,3,-3,Lost,2013
430,01-09-2013,Pakistan,1,0,1,Win,2013
431,03-09-2013,Bangladesh,1,1,0,Draw,2013
432,05-09-2013,Nepal,1,2,-1,Lost,2013
433,09-09-2013,Maldives,1,0,1,Win,2013
434,11-09-2013,Afghanistan,2,0,2,Win,2013
435,15-09-2013,Philippines,1,1,0,Draw,2013
436,19-11-2013,Nepal,2,0,2,Win,2013
437,05-03-2014,Bangladesh,2,2,0,Draw,2014
438,06-10-2014,Palestine,2,3,-1,Lost,2014
439,12-03-2015,Nepal,2,0,2,Win,2015
440,17-03-2015,Nepal,0,0,0,Draw,2015
441,11-06-2015,Oman,1,2,-1,Lost,2015
442,16-06-2015,Guam,1,2,-1,Lost,2015
443,31-08-2015,Nepal,0,0,0,Draw,2015
444,08-09-2015,Iran,0,3,-3,Lost,2015
445,08-10-2015,Turkmenistan,1,2,-1,Lost,2015
446,13-10-2015,Oman,0,3,-3,Lost,2015
447,12-11-2015,Guam,1,0,1,Win,2015
448,25-12-2015,Sri Lanka,2,0,2,Win,2015
449,27-12-2015,Nepal,4,1,3,Win,2015
450,31-12-2015,Maldives,3,2,1,Win,2015
451,03-01-2016,Afghanistan,2,1,1,Win,2016
452,24-03-2016,Iran,4,0,4,Win,2016
453,29-03-2016,Turkmenistan,1,2,-1,Lost,2016
454,02-06-2016,Laos,1,0,1,Win,2016
455,07-06-2016,Laos,6,1,5,Win,2016
456,03-09-2016,Peurto Rico,4,1,3,Win,2016
457,22-03-2017,Cambodia,3,2,1,Win,2017
458,28-03-2017,Myanmar,1,0,1,Win,2017
459,06-06-2017,Nepal,2,0,2,Win,2017
460,13-06-2017,Kyrgyzstan,1,0,1,Win,2017
461,19-08-2017,Mauritius,2,1,1,Win,2017
462,24-08-2017,Saint Kitts and Nevis,1,1,0,Draw,2017
463,05-09-2017,Macau,2,0,2,Win,2017
464,10-10-2017,Macau,4,1,3,Win,2017
465,14-11-2017,Myanmar,2,2,0,Draw,2017
466,27-03-2018,Kyrgyzstan,1,2,-1,Lost,2018
467,01-06-2018,Chinese Taipei,5,0,5,Win,2018
468,04-06-2018,Kenya,3,0,3,Win,2018
469,07-06-2018,New Zealand,1,2,-1,Lost,2018
470,10-06-2018,Kenya,2,0,2,Win,2018
471,05-09-2018,Sri Lanka,2,0,2,Win,2018
472,09-09-2018,Maldives,2,0,2,Win,2018
473,12-09-2018,Pakistan,3,1,2,Win,2018
474,15-09-2018,Maldives,1,2,-1,Lost,2018
475,13-10-2018,China,0,0,0,Draw,2018
476,17-11-2018,Jordan,1,2,-1,Lost,2018
477,27-12-2018,Oman,0,0,0,Draw,2018
478,06-01-2019,Thailand,4,1,3,Win,2019
479,10-01-2019,UAE,0,2,-2,Lost,2019
480,14-01-2019,Bahrain,0,1,-1,Lost,2019
481,05-06-2019,Curacao,1,3,-2,Lost,2019
482,08-06-2019,Thailand,1,0,1,Win,2019
483,07-07-2019,Tajikistan,2,4,-2,Lost,2019
484,13-07-2019,North Korea,2,5,-3,Lost,2019
485,16-07-2019,Syria,1,1,0,Draw,2019
486,05-09-2019,Oman,1,2,-1,Lost,2019
487,10-09-2019,Qatar,0,0,0,Draw,2019
488,15-10-2019,Bangladesh,1,1,0,Draw,2019
489,14-11-2019,Afghanistan,1,1,0,Draw,2019
490,19-11-2019,Oman,0,1,-1,Lost,2019
491,25-03-2021,Oman,1,1,0,Draw,2021
492,29-03-2021,UAE,0,6,-6,Lost,2021
493,03-06-2021,Qatar,0,1,-1,Lost,2021
494,07-06-2021,Bangladesh,2,0,2,Win,2021
495,15-06-2021,Afghanistan,1,1,0,Draw,2021
496,02-09-2021,Nepal,1,1,0,Draw,2021
497,05-09-2021,Nepal,2,1,1,Win,2021
498,04-10-2021,Bangladesh,1,1,0,Draw,2021
499,07-10-2021,Sri Lanka,0,0,0,Draw,2021
500,10-10-2021,Nepal,1,0,1,Win,2021
501,13-10-2021,Maldives,3,1,2,Win,2021
502,16-10-2021,Nepal,3,0,3,Win,2021
503,23-03-2022,Bahrain,1,2,-1,Lost,2022
504,26-03-2022,Belarus,0,3,-3,Lost,2022
505,28-05-2022,Jordan,0,2,-2,Lost,2022
506,08-06-2022,Cambodia,2,0,2,Win,2022
507,11-06-2022,Afghanistan,2,1,1,Win,2022
508,14-06-2022,Hong Kong,4,0,4,Win,2022
509,24-09-2022,Singapore,1,1,0,Draw,2022
510,27-09-2022,Veitnam,0,3,-3,Lost,2022
511,22-03-2023,Myanmar,1,0,1,Win,2023
512,28-03-2023,Kyrgyzstan,2,0,2,Win,2023
513,09-06-2023,Mongolia,2,0,2,Win,2023
514,12-06-2023,Vanuatu,1,0,1,Win,2023
515,15-06-2023,Lebanon,0,0,0,Draw,2023
516,18-06-2023,Lebanon,2,0,2,Win,2023
517,21-06-2023,Pakistan,4,0,4,Win,2023
518,24-06-2023,Nepal,2,0,2,Win,2023
519,27-06-2023,Kuwait,1,1,0,Draw,2023
520,01-07-2023,Lebanon,0,0,0,Draw,2023
521,04-07-2023,Kuwait,1,1,0,Draw,2023
522,07-07-2023,Iraq,2,2,0,Draw,2023
523,10-09-2023,Lebanon,0,1,-1,Lost,2023
524,13-10-2023,Malaya,2,4,-2,Lost,2023
525,16-11-2023,Kuwait,1,0,1,Win,2023
526,21-09-2023,Qatar,0,3,-3,Lost,2023
527,13-01-2024,Australia,0,2,-2,Lost,2024
528,18-01-2024,Uzbekistan,0,3,-3,Lost,2024
529,23-01-2024,Syria,0,1,-1,Lost,2024
530,21-03-2024,Afghanistan,0,0,0,Draw,2024
531,26-03-2024,Afghanistan,1,2,-1,Lost,2024
532,06-06-2024,Kuwait,0,0,0,Draw,2024
533,11-06-2024,Qatar,1,2,-1,Lost,2024
